timestamp,river_level,rainfall
2026-09-08 00:15:00+00:00,0.294,0.8
2026-09-08 00:30:00+00:00,0.295,1.4
2026-09-08 00:45:00+00:00,0.298,1.0
2026-09-08 01:00:00+00:00,0.3,0.6
2026-09-08 01:15:00+00:00,0.303,1.2
2026-09-08 01:30:00+00:00,0.306,1.0
2026-09-08 01:45:00+00:00,0.306,0.8
2026-09-08 02:00:00+00:00,0.307,0.6
2026-09-08 02:15:00+00:00,0.308,0.4
2026-09-08 02:30:00+00:00,0.308,0.6
2026-09-08 02:45:00+00:00,0.309,1.0
2026-09-08 03:00:00+00:00,0.308,0.8
2026-09-08 03:15:00+00:00,0.308,0.8
2026-09-08 03:30:00+00:00,0.308,1.0
2026-09-08 03:45:00+00:00,0.309,0.8
2026-09-08 04:00:00+00:00,0.312,1.0
2026-09-08 04:15:00+00:00,0.314,0.6
2026-09-08 04:30:00+00:00,0.316,0.8
2026-09-08 04:45:00+00:00,0.32,1.0
2026-09-08 05:00:00+00:00,0.322,0.8
2026-09-08 05:15:00+00:00,0.327,0.8
2026-09-08 05:30:00+00:00,0.332,1.2
2026-09-08 05:45:00+00:00,0.336,0.8
2026-09-08 06:00:00+00:00,0.34,1.0
2026-09-08 06:15:00+00:00,0.34,0.6
2026-09-08 06:30:00+00:00,0.342,0.4
2026-09-08 06:45:00+00:00,0.344,0.6
2026-09-08 07:00:00+00:00,0.346,0.6
2026-09-08 07:15:00+00:00,0.346,0.2
2026-09-08 07:30:00+00:00,0.347,0.4
2026-09-08 07:45:00+00:00,0.348,0.8
2026-09-08 08:00:00+00:00,0.35,0.6
2026-09-08 08:15:00+00:00,0.353,0.8
2026-09-08 08:30:00+00:00,0.355,0.2
2026-09-08 08:45:00+00:00,0.359,0.2
2026-09-08 09:00:00+00:00,0.361,0.2
2026-09-08 09:15:00+00:00,0.363,0.0
2026-09-08 09:30:00+00:00,0.364,0.0
2026-09-08 09:45:00+00:00,0.366,0.0
2026-09-08 10:00:00+00:00,0.367,0.0
2026-09-08 10:15:00+00:00,0.368,0.0
2026-09-08 10:30:00+00:00,0.368,0.0
2026-09-08 10:45:00+00:00,0.369,0.0
2026-09-08 11:00:00+00:00,0.37,0.0
2026-09-08 11:15:00+00:00,0.372,0.0
